LATITUDE,LONGITUDE,BOROUGH,Permit Type,Job Type,Filing Date,Issuance Date,Permit Status,Job #,Owner's Business Name,Permittee's Business Name,Block,Lot,Delay
40.798286,-73.962716,MANHATTAN,NB,NB,2021-11-17,2022-05-12,ISSUED,121208380,76 WEST 105 HOLDINGS LLC,TOP ROCK DEVELOPMENT AND,1840.0,61.0,176.0
40.701096,-73.984799,BROOKLYN,EW,A2,2022-02-03,2022-05-12,ISSUED,340756809,110 BRIDGE STREET REALTY CORP.,DANIEL J. CONSTRUCTION IN,66.0,18.0,98.0
40.701096,-73.984799,BROOKLYN,EW,A2,2022-02-03,2022-05-12,ISSUED,340756818,110 BRIDGE STREET REALTY CORP.,DANIEL J. CONSTRUCTION IN,66.0,18.0,98.0
40.660921,-73.922766,BROOKLYN,PL,A1,2022-03-17,2022-05-12,ISSUED,302285033,MOUNT ZION LIVING FAITH BIBLE C,JOHNNY'S P&H CONTRAC INC,4631.0,73.0,56.0
40.825924,-73.918257,BRONX,DM,DM,2022-04-13,2022-05-12,ISSUED,220739360,882 MORRIS LLC,GOLDEN TIGER CONST. INC,2421.0,6.0,29.0
40.748436,-73.994262,MANHATTAN,AL,A1,2022-04-27,2022-05-12,ISSUED,120883491,249 W 29 OWNERS CORP,LAVADA INC,779.0,12.0,15.0
40.692948,-73.996971,BROOKLYN,EW,A2,2022-03-25,2022-06-14,ISSUED,321964656,FIRE DEPARTMENT OF NEW YORK,FRANCO BELLI PLMG&HTG SON,260.0,36.0,81.0
40.677058,-73.878443,BROOKLYN,NB,NB,2022-04-14,2022-06-03,ISSUED,321327863,,"URBAN ECOSPACES, INC",3992.0,14.0,50.0
40.754927,-73.997867,MANHATTAN,PL,A2,2022-04-28,2022-05-12,ISSUED,123535399,JOY CONSTRUCTION,JEFFREY VULPIS PLMBNG LLC,733.0,8.0,14.0
40.903089,-73.841974,BRONX,EW,A2,2022-04-29,2022-05-12,ISSUED,220613101,SELF,KWEKU DEVELOPMENY CORPORA,5124.0,24.0,13.0
40.784064,-73.98136,MANHATTAN,PL,A2,2022-05-05,2022-05-12,ISSUED,122929581,,WYNNE PLBG & HEATING CORP,1170.0,7502.0,7.0
40.742905,-74.00227,MANHATTAN,PL,A1,2022-05-05,2022-05-12,ISSUED,123266241,CALLEN LORDE COMMUNITY HLTH CTR,RRP PLUMBING CORP,741.0,63.0,7.0
40.868509,-73.92395,MANHATTAN,FO,NB,2022-05-11,2022-05-12,ISSUED,121205301,112 SEAMAN AVE LLC,JC BROTHERS DEVELOPMENT,2248.0,112.0,1.0
40.695955,-73.926905,BROOKLYN,NB,NB,2022-05-11,2022-05-12,ISSUED,321594501,VENTNOR LLC,"BEST FITOUTS, LLC",3243.0,5.0,1.0
40.684868,-73.910025,BROOKLYN,AL,A1,2022-05-11,2022-05-12,ISSUED,321386415,1388 BUSHWICK  LLC,ATLAS BUILDERS LLC,3438.0,33.0,1.0
40.732208,-73.809484,QUEENS,EW,A2,2022-05-11,2022-05-12,ISSUED,440696481,FIRST HOUSING COMPANY INC,"AMERICAN SOLAR PARTNERS,",6789.0,15.0,1.0
40.821922,-73.93572,MANHATTAN,EW,A2,2022-04-27,2022-06-06,ISSUED,123504699,"ESPLANADE GARDENS, INC.",AM&G WATERPROOFING LLC,2016.0,50.0,40.0
40.64028,-74.131619,STATEN ISLAND,AL,A1,2022-05-02,2022-05-16,ISSUED,520393146,26 PORT RICHMOND AVE VENTURES LL,RICHMOND COUNTY DEVEL LLC,1073.0,66.0,14.0
40.721551,-73.993218,MANHATTAN,AL,A1,2022-05-03,2022-05-24,ISSUED,121191192,4 RIVINGTON LLC,L2 CONSTRUCTION INC,426.0,47.0,21.0
40.721658,-73.99732,MANHATTAN,AL,A1,2022-05-02,2022-06-02,ISSUED,123844554,KENMARE SQUARE LLC,"KCC D+B, LLC",481.0,13.0,31.0
40.78242,-73.982917,MANHATTAN,EW,A2,2022-05-13,2022-05-19,ISSUED,140980936,,MCCORMACK CONTRACTING INC,1185.0,25.0,6.0
40.744115,-73.989751,MANHATTAN,PL,A1,2022-05-13,2022-05-26,ISSUED,100561429,WILLOWICK PROPERTIES LLC,DEMAR MECHANICAL INC,828.0,16.0,13.0
40.824264,-73.94741,MANHATTAN,EW,A2,2020-06-24,2020-11-12,ISSUED,123886777,JAKE CLARK REVOCABLE TRUST,ANANDA GENERAL CONSTRUCT,2059.0,27.0,141.0
40.844199,-73.911588,BRONX,EW,A2,2022-05-13,2022-06-02,ISSUED,240045795,GENUE ESTATES INC.,DOUGLAS SIMMONS,2823.0,36.0,20.0
40.844432,-73.830584,BRONX,DM,DM,2022-05-13,2022-05-17,ISSUED,220737754,FIRST STRUCTURE LLC,B SOSA ENTERPRISES CORP,4168.0,15.0,4.0
40.762635,-73.974222,MANHATTAN,EW,A2,2022-03-23,2022-05-13,ISSUED,140897545,"CROWN 730 INVEST, LLC",GEMCO RESTORATION LLC,1272.0,7503.0,51.0
40.814752,-73.916793,BRONX,EW,A2,2022-04-11,2022-05-13,ISSUED,220625688,442 EAST 148TH STREET REALTY LLC,JRR CONTRACTING INC,2292.0,32.0,32.0
40.841096,-73.909499,BRONX,AL,A1,2022-04-15,2022-05-13,ISSUED,220736611,THE MANAGEMENT CREW,RED BRICK PROPERTY MNGMT,2820.0,62.0,28.0
40.678242,-73.864972,BROOKLYN,EW,A2,2022-05-02,2022-05-13,ISSUED,340840594,,WILLIAM JAMES BUSHELL COR,4205.0,9.0,11.0
40.766902,-73.983296,MANHATTAN,PL,A2,2022-05-10,2022-05-13,ISSUED,123732791,CENTRAL PARK PLACE CONDOMINIUM,DEMAR MECHANICAL INC,1048.0,7503.0,3.0
40.700836,-73.806551,QUEENS,NB,NB,2022-05-04,2022-05-19,ISSUED,420654508,"CJ PLAZA ONE, LLC",BRP CONSTRUCTION GROUP LL,9998.0,91.0,15.0
40.822211,-73.936399,MANHATTAN,EW,A2,2022-04-27,2022-06-06,ISSUED,123494584,"ESPLANADE GARDENS, INC.",AM&G WATERPROOFING LLC,2016.0,50.0,40.0
40.804742,-73.885322,BRONX,EW,A2,2022-05-11,2022-06-02,ISSUED,240269927,NYC DEP,DELPHI PLUMBING & HEATING,2780.0,2.0,22.0
40.67047,-73.942084,BROOKLYN,AL,A1,2022-03-11,2022-07-14,ISSUED,321824433,,UK 2 CONSTRUCTION CORP,1258.0,1.0,125.0
40.661213,-73.933492,BROOKLYN,DM,DM,2022-05-11,2022-05-13,ISSUED,322102826,809 MIDWOOD LLC,ALL STAR 1 LLC,4589.0,129.0,2.0
40.818385,-73.895422,BRONX,EQ,DM,2022-05-12,2022-05-13,ISSUED,220741455,HOUSING PRESERVATION & DEVELOPME,STATE CONTRACTING CORP NY,2711.0,92.0,1.0
40.818349,-73.895462,BRONX,EQ,DM,2022-05-12,2022-05-13,ISSUED,220741446,HOUSING PRESERVATION & DEVELOPME,STATE CONTRACTING CORP NY,2711.0,93.0,1.0
40.652775,-73.947452,BROOKLYN,DM,DM,2022-05-12,2022-05-18,ISSUED,322098859,335 LINDEN BLVD LLC,DESIGN N SAFETY INC,4853.0,76.0,6.0
40.652783,-73.947311,BROOKLYN,DM,DM,2022-05-12,2022-05-18,ISSUED,322098868,335 LINDEN BLVD LLC,DESIGN N SAFETY INC,4853.0,75.0,6.0
40.652783,-73.947311,BROOKLYN,DM,DM,2022-05-12,2022-05-19,ISSUED,322098877,335 LINDEN BLVD LLC,DESIGN N SAFETY INC,4853.0,75.0,7.0
40.689144,-73.79598,QUEENS,AL,A1,2022-08-08,2022-09-14,ISSUED,421517282,,SUPER US CONTRACTING INC,12154.0,9.0,37.0
40.613193,-74.035679,BROOKLYN,DM,DM,2020-03-13,2020-06-23,ISSUED,322011265,,DESIGN N SAFETY INC,6133.0,60.0,102.0
40.765998,-73.959636,MANHATTAN,EW,A2,2020-06-09,2020-06-18,ISSUED,123855907,315 EAST 68TH STREET CORP.,VAN GOGH PAINTERS LLC,1443.0,1.0,9.0
40.704642,-73.835877,QUEENS,FO,NB,2022-05-16,2022-05-31,ISSUED,421544662,CURZON DEVELOPMENT LLC,FEDERICI BUILDERS CORP,3321.0,177.0,15.0
40.705077,-73.927797,BROOKLYN,PL,A2,2022-05-16,2022-06-01,ISSUED,301874069,,GENET PLBG AND HTG CORP,3159.0,16.0,16.0
40.729904,-73.944248,BROOKLYN,EW,A2,2022-05-16,2022-06-03,ISSUED,340614696,BROADWAY STAGES,MPS PLUMBING & HEATING IN,2607.0,6.0,18.0
40.727639,-73.855541,QUEENS,AL,A1,2004-06-22,2004-06-23,ISSUED,401574934,99th St Realty Corp.,CONTINENTAL IRON WORKS,2105.0,10.0,1.0
40.728121,-73.854804,QUEENS,EW,A2,2012-10-03,2012-10-04,ISSUED,420316296,"99 TH ST REALTY CO., LLC",CYBER-STRUCT GENERAL CONT,2105.0,1.0,1.0
40.589617,-73.988651,BROOKLYN,EW,A2,2022-01-28,2022-05-16,ISSUED,340784244,,CITY RESTORATION & MAINT*,6913.0,33.0,108.0
40.662951,-73.763061,QUEENS,NB,NB,2022-04-01,2022-05-16,ISSUED,440598211,,BNA SERVICES INC,13347.0,33.0,45.0
40.663699,-73.990978,BROOKLYN,PL,A2,2022-04-18,2022-05-16,ISSUED,320423751,DELERIMAR REALTY,ABR PLBG&HTG CONTR INC,867.0,2.0,28.0
40.618112,-73.964941,BROOKLYN,EW,A2,2022-05-02,2022-05-16,ISSUED,340840264,,WILLIAM JAMES BUSHELL COR,6545.0,40.0,14.0
40.601893,-73.949591,BROOKLYN,EW,A2,2021-12-29,2022-05-18,ISSUED,320275947,,PALACE HOUSING CORP,7301.0,44.0,140.0
40.739405,-73.984808,MANHATTAN,EW,A2,2022-05-10,2022-05-16,ISSUED,121328857,CUNY DEPT. OF DESIGN & CONST.,WDF INC,878.0,20.0,6.0
40.756628,-73.986287,MANHATTAN,AL,A1,2022-05-11,2022-05-16,ISSUED,101634108,"JAMESTOWN OTS, LP",TISHMAN CONSTRUCTION CORP,995.0,1.0,5.0
40.740569,-74.006615,MANHATTAN,EW,A2,2022-05-13,2022-05-16,ISSUED,103986064,"GREENWAY MEWS REALTY, LLC",GREENWAY MEWS REALTY LLC,645.0,29.0,3.0
40.727554,-73.993426,MANHATTAN,EW,A2,2022-05-13,2022-05-16,ISSUED,140996091,"26 ORENYO NYC, LLC",CARGO WORKSHOP INC,531.0,7502.0,3.0
40.727639,-73.855541,QUEENS,EW,A2,1996-07-12,1996-07-17,ISSUED,400447655,SAMSON MANAGEMENT,BROCK ENTERPRISES,2105.0,10.0,5.0
40.702067,-73.926105,BROOKLYN,NB,NB,2022-05-02,2022-05-27,ISSUED,321758139,,KAIETEUR CONSTRUCTION INC,3197.0,16.0,25.0
40.748031,-73.888838,QUEENS,EW,A2,2022-05-17,2022-11-02,ISSUED,401820197,,THIND BUILDERS NY INC,1288.0,60.0,169.0
40.743151,-73.88881,QUEENS,DM,DM,2022-05-17,2022-06-17,ISSUED,421777081,OWNER,OWNER,1522.0,83.0,31.0
40.787585,-73.944655,MANHATTAN,EW,A2,2022-05-17,2022-05-26,ISSUED,123198994,1968 2ND AVENUE REALTY LLC,BOLD ENTERPRISES LLC,1673.0,1.0,9.0
40.718437,-73.982933,MANHATTAN,EW,A2,2022-05-17,2022-05-19,ISSUED,123766647,LO-HO LLC,NYC PAINTING CONTRACTING*,344.0,72.0,2.0
40.736892,-73.997893,MANHATTAN,AL,A3,2022-02-10,2022-05-17,ISSUED,123841450,106 WEST 13TH STREET LLC,HONOR CONSTRUCTION INC,608.0,35.0,96.0
40.710667,-73.767577,QUEENS,AL,A1,2022-04-15,2022-05-17,ISSUED,440628340,,RIGHT PRICE GENERAL CONST,10817.0,25.0,32.0
40.728822,-73.993892,MANHATTAN,EW,A2,2022-04-25,2022-05-17,ISSUED,123702706,,5 BORO CONSTRUCTION SERV*,545.0,7.0,22.0
40.541387,-74.206552,STATEN ISLAND,EW,A2,2022-05-02,2022-06-08,ISSUED,540216899,,"ENERGYPRO INSULATION,LLC",6894.0,12.0,37.0
40.872215,-73.899011,BRONX,EW,A2,2022-05-02,2022-05-17,ISSUED,240317545,,WILLIAM JAMES BUSHELL COR,3250.0,100.0,15.0
40.596453,-73.965198,BROOKLYN,DM,DM,2022-05-04,2022-05-17,ISSUED,322037452,,Y LEVY CONTRACTING CORP,7133.0,45.0,13.0
40.748054,-73.971185,MANHATTAN,PL,A2,2022-05-13,2022-05-17,ISSUED,123135160,WINDSOR OWNERS CORP.,AL PLUMBING & CONT. INC,1333.0,23.0,4.0
40.844432,-73.830584,BRONX,DM,DM,2022-05-13,2022-05-17,ISSUED,220737745,FIRST STRUCTURE LLC,B SOSA ENTERPRISES CORP,4168.0,15.0,4.0
40.626716,-74.007947,BROOKLYN,FO,A1,2022-05-05,2022-05-18,ISSUED,321074010,ASIAN BUDDHIST ASSOCIATION OF NY,HIGH QUALITY CONSTRUCTION,5772.0,38.0,13.0
40.626716,-74.007947,BROOKLYN,FO,A1,2022-05-05,2022-05-18,ISSUED,321074010,ASIAN BUDDHIST ASSOCIATION OF NY,HIGH QUALITY CONSTRUCTION,5772.0,38.0,13.0
40.684899,-73.835796,QUEENS,EW,A2,2020-06-16,2020-06-19,ISSUED,440577546,THIS IS NOT A BUSINESS,YOU SAVE GREEN INC,9424.0,43.0,3.0
40.711623,-73.994023,MANHATTAN,AL,A1,2022-05-11,2022-06-24,ISSUED,121088170,47 MONROE REALTY LLC.,TITAN REALTY & CONSTRUCTI,274.0,1.0,44.0
40.670595,-74.001557,BROOKLYN,AL,A1,2022-05-13,2022-07-29,ISSUED,301409875,,C & A IRON WORKS INC,492.0,1.0,77.0
40.606784,-73.994227,BROOKLYN,EW,A2,2022-05-18,2022-06-10,ISSUED,320210473,,JADESTONE CONSTRUCTION IN,6298.0,25.0,23.0
40.737823,-73.851586,QUEENS,EW,A2,2022-05-18,2022-06-15,ISSUED,440554302,NYC ENVIRONMENTAL PROTECTION,TULLY CONSTRUCTION CO INC,1964.0,65.0,28.0
40.605806,-73.754898,QUEENS,EQ,DM,2022-05-18,2022-06-06,ISSUED,421791252,DEERGROW DEVELOPERS,UNITED INDUSTRIES & CONST,15528.0,6.0,19.0
40.614957,-74.073096,STATEN ISLAND,NB,NB,2022-05-18,2022-07-11,ISSUED,520368012,STRUCTURE DEVELOPMENT,JCT DEVELOPMENT NY INC,2846.0,25.0,54.0
